match_id,date,map,team_a_players,team_b_players,queue
1133891,2025-02-23,Regicide Fortress (Random Civs),"[692780064106086420, 580385106494095381, 470492953983582219, 321600706769584128]","[495896198444613643, 317357930796023828, 703469910138814515, 463259002596360203]",Domestic
1133876,2025-02-23,Land Nomad (Random Civs),"[495896198444613643, 703469910138814515, 463259002596360203, 715438374357434401]","[692780064106086420, 470492953983582219, 945283728643608619, 584239778740961299]",Domestic
1133876,2025-02-23,Land Nomad (Random Civs),"[495896198444613643, 714677532665839667, 463259002596360203, 715438374357434401]","[692780064106086420, 470492953983582219, 945283728643608619, 584239778740961299]",Domestic
1133873,2025-02-23,African Clearing (Random Civs),"[461925749469741067, 394425164231868416, 714677532665839667, 463259002596360203]","[580385106494095381, 470492953983582219, 317357930796023828, 321600706769584128]",Domestic
1133868,2025-02-23,Kawasan (Random Civs),"[580385106494095381, 703469910138814515, 542430914836168744, 584239778740961299]","[317357930796023828, 394425164231868416, 714677532665839667, 321600706769584128]",Domestic
1133867,2025-02-23,Arabia,"[703469910138814515, 317357930796023828, 945283728643608619, 584239778740961299]","[394425164231868416, 714677532665839667, 542430914836168744, 321600706769584128]",Domestic
1133855,2025-02-23,Rage Arena(Random Civs),"[580385106494095381, 470492953983582219, 703469910138814515, 715438374357434401]","[495896198444613643, 317357930796023828, 313042064332029952, 321600706769584128]",Domestic
1133834,2025-02-23,Hideout(Random Civs),"[657452537506562069, 495896198444613643, 715438374357434401, 321600706769584128]","[580385106494095381, 470492953983582219, 313042064332029952, 697862073173934161]",Domestic
1133599,2025-02-22,Nomad (Random Civs),"[238042803093897216, 229635376212475904, 635025856313557033, 715438374357434401]","[284337490712592386, 470492953983582219, 714793302582362162, 463259002596360203]",Domestic
1133569,2025-02-22,Oasis(Random Civs),"[229635376212475904, 401748724021329920, 714793302582362162, 503759402206101545]","[470492953983582219, 635025856313557033, 463259002596360203, 715438374357434401]",Domestic
1133536,2025-02-22,Arena (Random civs),"[703469910138814515, 229635376212475904, 714793302582362162, 463259002596360203]","[313042064332029952, 635025856313557033, 401748724021329920, 503759402206101545]",Domestic
1133497,2025-02-22,Runestones( Random Civs),"[313042064332029952, 584450667897290784, 714793302582362162, 715438374357434401]","[703469910138814515, 401748724021329920, 723567999784583239, 321600706769584128]",Domestic
1133483,2025-02-22,Land Madness,"[703469910138814515, 229635376212475904, 401748724021329920, 463259002596360203]","[495896198444613643, 635025856313557033, 584450667897290784, 723567999784583239]",Domestic
1133465,2025-02-22,Golden Pit,"[703469910138814515, 229635376212475904, 313042064332029952, 723567999784583239]","[495896198444613643, 725758030221934692, 401748724021329920, 463259002596360203]",Domestic
1133434,2025-02-22,Rage Forest (Random Civs),"[317357930796023828, 584450667897290784, 463259002596360203, 584239778740961299]","[703469910138814515, 401748724021329920, 642625499989934080, 715438374357434401]",Domestic
1133414,2025-02-22,Ghost Lake,"[703469910138814515, 313042064332029952, 401748724021329920, 463259002596360203]","[229635376212475904, 635025856313557033, 584450667897290784, 754608550721880144]",Domestic
1133398,2025-02-22,4 lakes (Random civs),"[725758030221934692, 584450667897290784, 754608550721880144, 321600706769584128]","[317357930796023828, 401748724021329920, 642625499989934080, 584239778740961299]",Domestic
1133349,2025-02-22,Mega Random (Random Civs),"[635025856313557033, 401748724021329920, 584450667897290784, 463259002596360203]","[495896198444613643, 317357930796023828, 642625499989934080, 321600706769584128]",Domestic
1133323,2025-02-22,Arena Island (NC Zone) (Random Civs),"[317357930796023828, 635025856313557033, 401748724021329920, 584239778740961299]","[495896198444613643, 714677532665839667, 723567999784583239, 715438374357434401]",Domestic
1133300,2025-02-22,Golden Lakes (Random Civs),"[657452537506562069, 313042064332029952, 732576383208914978, 321600706769584128]","[495896198444613643, 580385106494095381, 463259002596360203, 642625499989934080]",Domestic
1133285,2025-02-22,Regicide Fortress (Random Civs),"[495896198444613643, 313042064332029952, 463259002596360203, 715438374357434401]","[580385106494095381, 394425164231868416, 697862073173934161, 584239778740961299]",Domestic
1133260,2025-02-22,Cross Roads (Random Civs),"[495896198444613643, 394425164231868416, 463259002596360203, 503759402206101545]","[580385106494095381, 313042064332029952, 697862073173934161, 321600706769584128]",Domestic
1133232,2025-02-22,Steppe (Random Civs),"[313042064332029952, 635025856313557033, 463259002596360203, 321600706769584128]","[580385106494095381, 394425164231868416, 503759402206101545, 715438374357434401]",Domestic
1133212,2025-02-22,Hideout(Random Civs),"[443955685227626517, 313042064332029952, 463259002596360203, 321600706769584128]","[580385106494095381, 394425164231868416, 503759402206101545, 715438374357434401]",Domestic
1133196,2025-02-22,Nomad (Random Civs),"[394425164231868416, 313042064332029952, 463259002596360203, 321600706769584128]","[580385106494095381, 695309066771365970, 503759402206101545, 715438374357434401]",Domestic
1133164,2025-02-22,Land Nomad (Random Civs),"[580385106494095381, 695309066771365970, 463259002596360203, 945283728643608619]","[470492953983582219, 635025856313557033, 723567999784583239, 503759402206101545]",Domestic
1133145,2025-02-22,African Clearing (Random Civs),"[313042064332029952, 695309066771365970, 509251341105889280, 584239778740961299]","[580385106494095381, 470492953983582219, 715438374357434401, 321600706769584128]",Domestic
1133138,2025-02-22,Enclosed (Random Civs),"[470492953983582219, 313042064332029952, 635025856313557033, 509251341105889280]","[332985391546236928, 580385106494095381, 945283728643608619, 321600706769584128]",Domestic
1133130,2025-02-22,Rage Arena(Random Civs),"[470492953983582219, 313042064332029952, 754608550721880144, 715438374357434401]","[495896198444613643, 394425164231868416, 463259002596360203, 321600706769584128]",Domestic
1133123,2025-02-22,Migration,"[470492953983582219, 635025856313557033, 463259002596360203, 321600706769584128]","[495896198444613643, 754608550721880144, 1291708538573291523, 732576383208914978]",Domestic
1133113,2025-02-22,Rage Forest (Random Civs),"[495896198444613643, 635025856313557033, 463259002596360203, 1291708538573291523]","[332985391546236928, 754608550721880144, 732576383208914978, 321600706769584128]",Domestic
1132839,2025-02-21,Arena (Random civs),"[284337490712592386, 470492953983582219, 701344653160480770, 503759402206101545]","[568857045080473601, 229635376212475904, 401748724021329920, 715438374357434401]",Domestic
1132803,2025-02-21,Kawasan (Random Civs),"[284337490712592386, 580385106494095381, 229635376212475904, 715438374357434401]","[568857045080473601, 470492953983582219, 401748724021329920, 503759402206101545]",Domestic
1132762,2025-02-21,Runestones( Random Civs),"[284337490712592386, 695309066771365970, 401748724021329920, 945283728643608619]","[317357930796023828, 229635376212475904, 394425164231868416, 503759402206101545]",Domestic
1132734,2025-02-21,Arena Island (NC Zone) (Random Civs),"[394425164231868416, 401748724021329920, 714793302582362162, 503759402206101545]","[317357930796023828, 695309066771365970, 463259002596360203, 715438374357434401]",Domestic
1132714,2025-02-21,4 lakes (Random civs),"[692780064106086420, 495896198444613643, 715438374357434401, 945283728643608619]","[284337490712592386, 635025856313557033, 642625499989934080, 503759402206101545]",Domestic
1132699,2025-02-21,Arabia,"[703469910138814515, 229635376212475904, 723567999784583239, 732576383208914978]","[401748724021329920, 849334461773774928, 714793302582362162, 463259002596360203]",Domestic
1132683,2025-02-21,Golden Pit,"[401748724021329920, 714793302582362162, 463259002596360203, 732576383208914978]","[703469910138814515, 849334461773774928, 715438374357434401, 945283728643608619]",Domestic
1132682,2025-02-21,Migration (Random Civs),"[284337490712592386, 495896198444613643, 642625499989934080, 503759402206101545]","[229635376212475904, 635025856313557033, 394425164231868416, 1291708538573291523]",Domestic
1132657,2025-02-21,Golden Lakes (Random Civs),"[495896198444613643, 313042064332029952, 635025856313557033, 321600706769584128]","[284337490712592386, 229635376212475904, 714793302582362162, 503759402206101545]",Domestic
1132655,2025-02-21,Hideout(Random Civs),"[703469910138814515, 725758030221934692, 642625499989934080, 732576383208914978]","[394425164231868416, 849334461773774928, 1291708538573291523, 723567999784583239]",Domestic
1132627,2025-02-21,Hideout(Random Civs),"[229635376212475904, 401748724021329920, 463259002596360203, 503759402206101545]","[495896198444613643, 313042064332029952, 945283728643608619, 321600706769584128]",Domestic
1132612,2025-02-21,African Clearing (Random Civs),"[313042064332029952, 463259002596360203, 1291708538573291523, 503759402206101545]","[229635376212475904, 394425164231868416, 715438374357434401, 321600706769584128]",Domestic
1132591,2025-02-21,Enclosed (Random Civs),"[394425164231868416, 401748724021329920, 715438374357434401, 321600706769584128]","[229635376212475904, 463259002596360203, 642625499989934080, 945283728643608619]",Domestic
1132557,2025-02-21,Rage Arena(Random Civs),"[394425164231868416, 401748724021329920, 715438374357434401, 584239778740961299]","[229635376212475904, 463259002596360203, 1291708538573291523, 945283728643608619]",Domestic
1132008,2025-02-20,Arena (Random civs),"[464205461407924225, 692780064106086420, 238042803093897216, 635025856313557033]","[314461722817593345, 580385106494095381, 229635376212475904, 714793302582362162]",Domestic
1131990,2025-02-20,Oasis(Random Civs),"[314461722817593345, 238042803093897216, 714793302582362162, 715438374357434401]","[692780064106086420, 580385106494095381, 229635376212475904, 635025856313557033]",Domestic
1131972,2025-02-20,Land Nomad (Random Civs),"[692780064106086420, 580385106494095381, 635025856313557033, 697862073173934161]","[314461722817593345, 229635376212475904, 714793302582362162, 723567999784583239]",Domestic
1131961,2025-02-20,Crater,"[692780064106086420, 580385106494095381, 635025856313557033, 697862073173934161]","[314461722817593345, 229635376212475904, 714793302582362162, 723567999784583239]",Domestic
1131938,2025-02-20,Nomad (Random Civs),"[692780064106086420, 714793302582362162, 723567999784583239, 715438374357434401]","[580385106494095381, 697862073173934161, 463259002596360203, 584239778740961299]",Domestic
