match_id,date,year_month,map,w1,w2,w3,w4,l1,l2,l3,l4,w1_or,w2_or,w3_or,w4_or,w1_nr,w2_nr,w3_nr,w4_nr,l1_or,l2_or,l3_or,l4_or,l1_nr,l2_nr,l3_nr,l4_nr,map_only
1134183,2025-02-23,2025-02,Land Nomad,bcappu,xpm0083,typo,,thelivi,vijay1989,harry6789,,1736,1287,852,0,1763,1314,879,0,1634,1260,1014,0,1607,1233,987,0,Land Nomad
1134146,2025-02-23,2025-02,Land Nomad,tokenbadteam,f33d3r.raj,vijay1989,typo,thelivi,stylishsteam,harry6789,zaszrespawned,1400,1301,1239,831,1428,1322,1260,852,1655,1089,1035,991,1634,1068,1014,970,Land Nomad
1134125,2025-02-23,2025-02,Land Nomad,arkantos3801,f33d3r.raj,xpm0083,feedertony,mikecbe,thelivi,vijay1989,typo,1699,1279,1265,1206,1721,1301,1287,1228,1683,1677,1261,853,1661,1655,1239,831,Land Nomad
1134080,2025-02-23,2025-02,Land Nomad,mikecbe,thelivi,feedertony,typo,Thiru,f33d3r.raj,zaszrespawned,Gajini,1663,1657,1186,833,1683,1677,1206,853,2025,1299,1011,982,2005,1279,991,962,Land Nomad
1134019,2025-02-23,2025-02,Land Nomad,Thiru,arkantos3801,feedertony,typo,mikecbe,thelivi,xpm0083,Gajini,2004,1678,1165,812,2025,1699,1186,833,1684,1678,1286,1003,1663,1657,1265,982,Land Nomad
1133955,2025-02-23,2025-02,Land Nomad,mikecbe,harry6789,zaszrespawned,Gajini,arkantos3801,f33d3r.raj,typo,vetrierai,1662,1013,989,981,1684,1035,1011,1003,1700,1321,834,806,1678,1299,812,784,Land Nomad
1133942,2025-02-23,2025-02,Land Nomad,thelivi,f33d3r.raj,harry6789,thundubeedi,arkantos3801,sundar7238,typo,vetrierai,1657,1300,992,564,1678,1321,1013,595,1721,1103,855,827,1700,1082,834,806,Land Nomad
1133922,2025-02-23,2025-02,Land Nomad,mikecbe,thelivi,Gajini,typo,arkantos3801,xpm0083,harry6789,zaszrespawned,1640,1635,959,833,1662,1657,981,855,1743,1308,1014,1011,1721,1286,992,989,Land Nomad
1133899,2025-02-23,2025-02,Land Nomad,thelivi,sundar7238,zaszrespawned,typo,mikecbe,xpm0083,vetrierai,thundubeedi,1618,1086,994,816,1635,1103,1011,833,1657,1325,844,592,1640,1308,827,564,Land Nomad
1133881,2025-02-23,2025-02,Land Nomad,bcappu,feedertony,harry6789,vetrierai,xpm0083,vijay1989,sundar7238,Gajini,1712,1141,990,820,1736,1165,1014,844,1349,1285,1110,983,1325,1261,1086,959,Land Nomad
1133869,2025-02-23,2025-02,Land Nomad,xpm0083,vijay1989,harry6789,Gajini,thelivi,feedertony,vetrierai,typo,1330,1266,971,964,1349,1285,990,983,1637,1160,839,835,1618,1141,820,816,Land Nomad
1133861,2025-02-23,2025-02,Land Nomad,mikecbe,harry6789,Gajini,vetrierai,f33d3r.raj,feedertony,zaszrespawned,typo,1634,948,941,816,1657,971,964,839,1323,1183,1017,858,1300,1160,994,835,Land Nomad
1133857,2025-02-23,2025-02,Land Nomad,thelivi,f33d3r.raj,zaszrespawned,Gajini,centurion12,vijay1989,feedertony,typo,1609,1295,989,913,1637,1323,1017,941,1573,1294,1211,886,1545,1266,1183,858,Land Nomad
1133839,2025-02-23,2025-02,Land Nomad,mikecbe,thelivi,centurion12,typo,bcappu,xpm0083,vijay1989,feedertony,1611,1586,1550,863,1634,1609,1573,886,1735,1353,1317,1234,1712,1330,1294,1211,Land Nomad
1133535,2025-02-22,2025-02,Land Nomad,mikecbe,thelivi,xpm0083,typo,bcappu,vijay1989,feedertony,Gajini,1592,1567,1334,844,1611,1586,1353,863,1754,1336,1253,932,1735,1317,1234,913,Land Nomad
1133491,2025-02-22,2025-02,Land Nomad,thelivi,centurion12,vijay1989,feedertony,bcappu,mikecbe,xpm0083,typo,1546,1529,1315,1232,1567,1550,1336,1253,1775,1613,1355,865,1754,1592,1334,844,Land Nomad
