match_id,w1,w2,w3,w4,l1,l2,l3,l4,w1_or,w2_or,w3_or,w4_or,l1_or,l2_or,l3_or,l4_or,w1_nr,w2_nr,w3_nr,w4_nr,l1_nr,l2_nr,l3_nr,l4_nr,team_a_won,team_b_won
1089418,HELLRAZER,SuLTaN,MODI,BraveHeart,Addu4Kstrategist,Thiru,NewWithPikes,FraGStaR,2907,1294,1298,474,2886,1714,715,620,2924,1311,1315,491,2869,1697,698,603,False,True
1089398,Addu4Kstrategist,Livi,ancalagon100,BraveHeart,OS,Thiru,TRush,NewWithPikes,2870,1381,847,458,2275,1730,753,731,2886,1397,863,474,2259,1714,737,715,True,False
1089386,HELLRAZER,SuLTaN,FraGStaR,Spartans300,MrWrong,MODI,Afterlife,Ju$TK!Dd!nG,2887,1274,600,341,1629,1318,1212,944,2907,1294,620,361,1609,1298,1192,924,False,True
1089384,OS,Livi,mr.monc,meetyrdoom,Thiru,ancalagon100,TRush,NewWithPikes,2264,1370,494,130,1741,858,764,742,2275,1381,505,141,1730,847,753,731,False,True
1089369,OS,Livi,mr.monc,meetyrdoom,Thiru,ancalagon100,TRush,NewWithPikes,2243,1349,473,109,1762,879,785,763,2264,1370,494,130,1741,858,764,742,True,False
1089371,HELLRAZER,MrWrong,FraGStaR,Spartans300,Plan B,MODI,SuLTaN,Afterlife,2874,1616,587,328,1447,1331,1287,1225,2887,1629,600,341,1434,1318,1274,1212,False,True
1089350,OS,Thiru,Spartans300,meetyrdoom,Livi,MODI,TRush,NewWithPikes,2230,1749,315,96,1362,1344,798,776,2243,1762,328,109,1349,1331,785,763,False,True
1089338,OS,MODI,NewWithPikes,Spartans300,Fenrir,Livi,Ju$TK!Dd!nG,meetyrdoom,2212,1326,758,297,2105,1380,962,114,2230,1344,776,315,2087,1362,944,96,True,False
1088880,Thiru,Livi,Ju$TK!Dd!nG,NewWithPikes,Water,Afterlife,FraGStaR,BraveHeart,1734,1365,947,743,2396,1240,602,473,1749,1380,962,758,2381,1225,587,458,False,True
1088865,Thiru,尺oyal,NewWithPikes,BraveHeart,Livi,MODI,Ju$TK!Dd!nG,सुरमा,1727,1340,736,466,1372,1333,954,356,1734,1347,743,473,1365,1326,947,349,False,True
1088853,OS,SuLTaN,NewWithPikes,mr.monc,deadkorpse,Plan B,chaosrd,FraGStaR,2191,1266,715,452,1514,1468,1031,623,2212,1287,736,473,1493,1447,1010,602,True,False
