match_id,date,map,team_a_players,team_b_players
856650,2024-02-08,Mega Random (Random Civs),"[703469910138814515, 542430914836168744, 635025856313557033, 401748724021329920]","[573073267766722561, 317357930796023828, 512487301717295104, 714793302582362162]"
856607,2024-02-08,Regicide Fortress (Random Civs),"[317357930796023828, 703469910138814515, 635033349206966277, 714793302582362162]","[573073267766722561, 512487301717295104, 401748724021329920, 715438374357434401]"
856540,2024-02-08,Nomad (Random Civs),"[317357930796023828, 703469910138814515, 223875529600663552, 463259002596360203]","[714677532665839667, 401748724021329920, 635033349206966277, 715438374357434401]"
856493,2024-02-08,Rage Forest (Random Civs),"[573073267766722561, 714677532665839667, 635033349206966277, 463259002596360203]","[725758030221934692, 439339450770653185, 401748724021329920, 223875529600663552]"
856454,2024-02-08,4 lakes (Random civs),"[703469910138814515, 401748724021329920, 223875529600663552, 635033349206966277]","[573073267766722561, 849334461773774928, 714793302582362162, 715438374357434401]"
856426,2024-02-08,Beduoins (Random Civs),"[573073267766722561, 725758030221934692, 401748724021329920, 635033349206966277]","[495896198444613643, 542430914836168744, 695309066771365970, 223875529600663552]"
856403,2024-02-08,Migration (Random Civs),"[495896198444613643, 348849437101260801, 410863622139412482, 849334461773774928]","[657452537506562069, 573073267766722561, 695309066771365970, 635033349206966277]"
856361,2024-02-08,Land Nomad (Random Civs),"[573073267766722561, 440357833255682058, 410863622139412482, 426026435417866244]","[657452537506562069, 542430914836168744, 695309066771365970, 584239778740961299]"
855684,2024-02-07,Migration (Random Civs),"[573073267766722561, 635025856313557033, 512487301717295104, 715438374357434401]","[714677532665839667, 317357930796023828, 401748724021329920, 714793302582362162]"
855650,2024-02-07,Arena Island (NC Zone) (Random Civs),"[573073267766722561, 317357930796023828, 512487301717295104, 714793302582362162]","[714677532665839667, 635025856313557033, 697862073173934161, 401748724021329920]"
855611,2024-02-07,Hideout(Random Civs),"[317357930796023828, 635025856313557033, 697862073173934161, 715438374357434401]","[573073267766722561, 401748724021329920, 512487301717295104, 714793302582362162]"
855569,2024-02-07,African Clearing (Random Civs),"[573073267766722561, 723567999784583239, 714793302582362162, 715438374357434401]","[714677532665839667, 849334461773774928, 697862073173934161, 463259002596360203]"
855545,2024-02-07,Arena (Random civs),"[568857045080473601, 317357930796023828, 401748724021329920, 394425164231868416]","[440386346314498093, 703469910138814515, 635025856313557033, 223875529600663552]"
855543,2024-02-07,Runestones( Random Civs),"[296465677114671105, 573073267766722561, 723567999784583239, 714793302582362162]","[714677532665839667, 725758030221934692, 849334461773774928, 697862073173934161]"
855520,2024-02-07,Mega Random (Random Civs),"[440386346314498093, 703469910138814515, 401748724021329920, 223875529600663552]","[568857045080473601, 317357930796023828, 635025856313557033, 394425164231868416]"
855504,2024-02-07,Rage Forest (Random Civs),"[725758030221934692, 697862073173934161, 695309066771365970, 945283728643608619]","[410863622139412482, 849334461773774928, 723567999784583239, 584239778740961299]"
855469,2024-02-07,Regicide Fortress (Random Civs),"[317357930796023828, 401748724021329920, 223875529600663552, 394425164231868416]","[348849437101260801, 703469910138814515, 635025856313557033, 767743114575085628]"
855436,2024-02-07,Golden Lakes (Random Civs),"[348849437101260801, 401748724021329920, 695309066771365970, 723567999784583239]","[714677532665839667, 410863622139412482, 703469910138814515, 584239778740961299]"
855391,2024-02-07,Arabia,"[573073267766722561, 725758030221934692, 695309066771365970, 767743114575085628]","[410863622139412482, 703469910138814515, 849334461773774928, 584239778740961299]"
855384,2024-02-07,Migration (Random Civs),"[410863622139412482, 703469910138814515, 695309066771365970, 584239778740961299]","[573073267766722561, 849334461773774928, 394425164231868416, 767743114575085628]"
854786,2024-02-06,Land Madness,"[573073267766722561, 410863622139412482, 401748724021329920, 714793302582362162]","[440357833255682058, 317357930796023828, 509251341105889280, 715438374357434401]"
854767,2024-02-06,Socotra,"[573073267766722561, 440357833255682058, 715438374357434401, 714793302582362162]","[317357930796023828, 410863622139412482, 509251341105889280, 401748724021329920]"
854733,2024-02-06,Nomad (Random Civs),"[317357930796023828, 410863622139412482, 715438374357434401, 714793302582362162]","[573073267766722561, 635025856313557033, 401748724021329920, 463259002596360203]"
854728,2024-02-06,Oasis(Random Civs),"[348849437101260801, 410863622139412482, 401748724021329920, 714793302582362162]","[573073267766722561, 317357930796023828, 635025856313557033, 463259002596360203]"
854705,2024-02-06,Valley,"[635025856313557033, 439339450770653185, 401748724021329920, 714793302582362162]","[348849437101260801, 849334461773774928, 697862073173934161, 463259002596360203]"
854688,2024-02-06,Hideout(Random Civs),"[348849437101260801, 439339450770653185, 849334461773774928, 463259002596360203]","[635025856313557033, 697862073173934161, 401748724021329920, 714793302582362162]"
