match_id,date,map,team_a_players,team_b_players
1089438,2024-12-19,African Clearing (Random Civs),"[386965257660399619, 463259002596360203, 568705990489276426, 697860695550722089]","[573073267766722561, 700792986937589781, 503759402206101545, 945283728643608619]"
1089418,2024-12-19,Migration (Random Civs),"[657452537506562069, 573073267766722561, 503759402206101545, 568705990489276426]","[431327099480047626, 635025856313557033, 697862073173934161, 635033349206966277]"
1089418,2024-12-19,Migration (Random Civs),"[657452537506562069, 573073267766722561, 503759402206101545, 568705990489276426]","[431327099480047626, 635025856313557033, 542430914836168744, 635033349206966277]"
1089398,2024-12-19,Land Madness,"[657452537506562069, 695309066771365970, 700792986937589781, 635033349206966277]","[495896198444613643, 573073267766722561, 463259002596360203, 503759402206101545]"
1089386,2024-12-19,Rage Forest (Random Civs),"[470492953983582219, 697862073173934161, 542430914836168744, 714793302582362162]","[431327099480047626, 635025856313557033, 568705990489276426, 584239778740961299]"
1089384,2024-12-19,Valley,"[573073267766722561, 700792986937589781, 463259002596360203, 503759402206101545]","[495896198444613643, 695309066771365970, 945283728643608619, 321600706769584128]"
1089369,2024-12-19,Oasis(Random Civs),"[495896198444613643, 695309066771365970, 945283728643608619, 321600706769584128]","[573073267766722561, 700792986937589781, 463259002596360203, 503759402206101545]"
1089371,2024-12-19,Arena Island (NC Zone) (Random Civs),"[703469910138814515, 697862073173934161, 635025856313557033, 542430914836168744]","[431327099480047626, 470492953983582219, 568705990489276426, 584239778740961299]"
1089350,2024-12-19,Golden Lakes (Random Civs),"[695309066771365970, 697862073173934161, 463259002596360203, 503759402206101545]","[495896198444613643, 573073267766722561, 584239778740961299, 321600706769584128]"
1089338,2024-12-19,Nomad (Random Civs),"[495896198444613643, 697862073173934161, 503759402206101545, 584239778740961299]","[238042803093897216, 695309066771365970, 714793302582362162, 321600706769584128]"
1089337,2024-12-19,Rage Forest (Random Civs),"[495896198444613643, 697862073173934161, 503759402206101545, 584239778740961299]","[238042803093897216, 695309066771365970, 714793302582362162, 321600706769584128]"
1088880,2024-12-18,Arena (Random civs),"[716142389902704691, 542430914836168744, 568705990489276426, 635033349206966277]","[573073267766722561, 695309066771365970, 714793302582362162, 503759402206101545]"
1088865,2024-12-18,Land Nomad (Random Civs),"[695309066771365970, 697862073173934161, 714793302582362162, 767743114575085628]","[573073267766722561, 725758030221934692, 503759402206101545, 635033349206966277]"
1088865,2024-12-18,Land Nomad (Random Civs),"[695309066771365970, 697862073173934161, 714793302582362162, 767743114575085628]","[703469910138814515, 725758030221934692, 503759402206101545, 635033349206966277]"
1088853,2024-12-18,Arabia,"[495896198444613643, 635025856313557033, 503759402206101545, 945283728643608619]","[317357930796023828, 703469910138814515, 631896735337152525, 568705990489276426]"
1088851,2024-12-18,Steppe (Random Civs),"[695309066771365970, 725758030221934692, 700792986937589781, 584450667897290784]","[470492953983582219, 697862073173934161, 849334461773774928, 635033349206966277]"
1088835,2024-12-18,Enclosed- Random Civs,"[699611550423711766, 695309066771365970, 635025856313557033, 584450667897290784]","[470492953983582219, 697862073173934161, 849334461773774928, 700792986937589781]"
1088830,2024-12-18,Hideout(Random Civs),"[573073267766722561, 703469910138814515, 631896735337152525, 714793302582362162]","[495896198444613643, 317357930796023828, 503759402206101545, 1291708538573291523]"
1088816,2024-12-18,Crater,"[495896198444613643, 238042803093897216, 714793302582362162, 584450667897290784]","[431327099480047626, 699611550423711766, 304272299534581762, 503759402206101545]"
1088811,2024-12-18,Runestones( Random Civs),"[470492953983582219, 695309066771365970, 849334461773774928, 631896735337152525]","[317357930796023828, 703469910138814515, 697862073173934161, 223875529600663552]"
1088804,2024-12-18,Golden Pit,"[431327099480047626, 725758030221934692, 697862073173934161, 223875529600663552]","[470492953983582219, 317357930796023828, 703469910138814515, 695309066771365970]"
1088798,2024-12-18,Ghost Lake,"[238042803093897216, 304272299534581762, 584450667897290784, 503759402206101545]","[573073267766722561, 699611550423711766, 723567999784583239, 1291708538573291523]"
1088798,2024-12-18,Ghost Lake,"[238042803093897216, 304272299534581762, 584450667897290784, 503759402206101545]","[573073267766722561, 470492953983582219, 723567999784583239, 1291708538573291523]"
