match_id,date,year_month,map,w1,w2,w3,w4,l1,l2,l3,l4,w1_or,w2_or,w3_or,w4_or,w1_nr,w2_nr,w3_nr,w4_nr,l1_or,l2_or,l3_or,l4_or,l1_nr,l2_nr,l3_nr,l4_nr,map_only
856650,2024-02-08,2024-02,Mega Random (Random civs),Thiru,Deadkorpse,wArDaDdY,Ju$TK!Dd!nG,Plan B,Afterlife,SuLTaN,peppapig2108,1859,1512,1159,845,1880,1533,1180,866,1450,1412,1397,1132,1429,1391,1376,1111,Mega Random
856607,2024-02-08,2024-02,Regicide Fortress (Random civs),Thiru,wArDaDdY,peppapig2108,adirath,Deadkorpse,Plan B,BraveHeart,Ju$TK!Dd!nG,1844,1144,1117,792,1859,1159,1132,807,1527,1465,973,860,1512,1450,958,845,Regicide Fortress
856540,2024-02-08,2024-02,Nomad (Random civs),Deadkorpse,Plan B,Avenger,TRush,Mirror,peppapig2108,BraveHeart,adirath,1504,1442,1037,566,1527,1465,1060,589,1638,1140,996,815,1615,1117,973,792,Nomad
856493,2024-02-08,2024-02,Rage Forest (Random civs),Thiru,Mirror,BraveHeart,TRush,Royal,Sephiroth,peppapig2108,Avenger,1820,1614,972,542,1844,1638,996,566,1505,1278,1164,1061,1481,1254,1140,1037,Rage Forest
856454,2024-02-08,2024-02,4 Lakes (Random civs),Thiru,ForeRuthless,Ju$TK!Dd!nG,adirath,Plan B,peppapig2108,Avenger,BraveHeart,1801,1289,841,796,1820,1308,860,815,1461,1183,1080,991,1442,1164,1061,972,4 Lakes
856426,2024-02-08,2024-02,Beduoins (Random civs),OS,Afterlife,Livi,Avenger,Thiru,Royal,peppapig2108,BraveHeart,2044,1393,1063,1061,2063,1412,1082,1080,1820,1524,1202,1010,1801,1505,1183,991,Beduoins
856403,2024-02-08,2024-02,Migration (Random civs),OS,talentbutnofarm,🥭bush,ForeRuthless,addu,Thiru,Livi,BraveHeart,2034,1794,1522,1279,2044,1804,1532,1289,2540,1830,1073,1020,2530,1820,1063,1010,Migration
856361,2024-02-08,2024-02,Land Nomad (Random civs),addu,Afterlife,Livi,Bondulkar,Thiru,JayMystic,🥭bush,jOkEs On YoU,2524,1377,1057,541,2540,1393,1073,557,1846,1638,1538,420,1830,1622,1522,404,Land Nomad
855650,2024-02-07,2024-02,Arena Island (Random civs),Mirror,SuLTaN,MODI,peppapig2108,Thiru,Deadkorpse,wArDaDdY,Ju$TK!Dd!nG,1591,1374,1239,1179,1614,1397,1262,1202,1869,1527,1167,864,1846,1504,1144,841,Arena Island
855611,2024-02-07,2024-02,Hideout (Random civs),Thiru,peppapig2108,wArDaDdY,Ju$TK!Dd!nG,Deadkorpse,SuLTaN,MODI,adirath,1848,1158,1146,843,1869,1179,1167,864,1548,1395,1260,817,1527,1374,1239,796,Hideout
855569,2024-02-07,2024-02,African Clearing (Random civs),Mirror,ForeRuthless,MODI,TRush,Thiru,THUNDER,Ju$TK!Dd!nG,adirath,1569,1257,1238,520,1591,1279,1260,542,1870,1045,865,839,1848,1023,843,817,African Clearing
855545,2024-02-07,2024-02,Arena (Random civs),AgentP97,Deadkorpse,peppapig2108,Himansu,Legion64,Plan B,SuLTaN,Avenger,2108,1505,1115,1108,2151,1548,1158,1151,2101,1504,1438,1104,2058,1461,1395,1061,Arena
855543,2024-02-07,2024-02,Runestones (Random civs),Av3stan,Thiru,THUNDER,Ju$TK!Dd!nG,Mirror,Royal,ForeRuthless,MODI,1944,1850,1025,845,1964,1870,1045,865,1589,1544,1277,1258,1569,1524,1257,1238,Runestones
855520,2024-02-07,2024-02,Mega Random (Random civs),AgentP97,Deadkorpse,SuLTaN,Himansu,Legion64,Plan B,peppapig2108,Avenger,2103,1500,1433,1103,2108,1505,1438,1108,2106,1509,1120,1109,2101,1504,1115,1104,Mega Random
855504,2024-02-07,2024-02,Rage Forest (Random civs),🥭bush,ForeRuthless,THUNDER,Bondulkar,Royal,MODI,Livi,Oldman0007,1527,1266,1014,530,1538,1277,1025,541,1555,1269,1068,288,1544,1258,1057,277,Rage Forest
855469,2024-02-07,2024-02,Regicide Fortress (Random civs),talentbutnofarm,Plan B,SuLTaN,JAYRAJ,Deadkorpse,peppapig2108,Avenger,Himansu,1787,1502,1426,393,1794,1509,1433,400,1507,1127,1116,1110,1500,1120,1109,1103,Regicide Fortress
855436,2024-02-07,2024-02,Golden Lakes (Random civs),Mirror,🥭bush,Plan B,Bondulkar,talentbutnofarm,peppapig2108,Livi,THUNDER,1568,1506,1481,509,1589,1527,1502,530,1808,1148,1089,1035,1787,1127,1068,1014,Golden Lakes
855391,2024-02-07,2024-02,Arabia,Thiru,Royal,Livi,JAYRAJ,🥭bush,Plan B,ForeRuthless,Bondulkar,1826,1531,1065,369,1850,1555,1089,393,1530,1505,1290,533,1506,1481,1266,509,Arabia
854786,2024-02-06,2024-02,Land Madness,Thiru,🥭bush,peppapig2108,Ju$TK!Dd!nG,JayMystic,Deadkorpse,Shadeslayer II,adirath,1814,1518,1136,833,1826,1530,1148,845,1650,1519,1139,851,1638,1507,1127,839,Land Madness
854767,2024-02-06,2024-02,Socotra,Deadkorpse,🥭bush,Shadeslayer II,peppapig2108,Thiru,JayMystic,adirath,Ju$TK!Dd!nG,1500,1499,1120,1117,1519,1518,1139,1136,1833,1669,870,852,1814,1650,851,833,Socotra
854733,2024-02-06,2024-02,Nomad (Random civs),Thiru,SuLTaN,peppapig2108,TRush,Deadkorpse,🥭bush,adirath,Ju$TK!Dd!nG,1816,1409,1100,503,1833,1426,1117,520,1517,1516,887,869,1500,1499,870,852,Nomad
