match_id,date,year_month,map,w1,w2,w3,w4,l1,l2,l3,l4,w1_or,w2_or,w3_or,w4_or,l1_or,l2_or,l3_or,l4_or,w1_nr,w2_nr,w3_nr,w4_nr,l1_nr,l2_nr,l3_nr,l4_nr,map_only
349499,2021-10-15,2021-10,Land Madness,Simba,Sephiroth,Plan B,Amadeus,bosedk1,CHICKEN,Ju$TK!Dd!nG,lottery martin,1100,1300,1425,1000,1450,1050,1100,1250,1107,1307,1453,1007,1443,1043,1093,1243,Land Madness
349512,2021-10-15,2021-10,Crater,KING,kappa9059,Cleopatra,Amadeus,Simba,Sephiroth,CHICKEN,Plan B,1200,1450,1250,1007,1107,1307,1043,1425,1206,1456,1256,1021,1093,1293,1029,1419,Crater
349535,2021-10-15,2021-10,Arena,Simba,gelf,Sephiroth,kappa9059,bosedk1,Cleopatra,Plan B,Ju$TK!Dd!nG,1093,1350,1293,1456,1443,1256,1419,1093,1108,1356,1308,1471,1428,1241,1404,1078,Arena
350806,2021-10-17,2021-10,African Clearing,bosedk1,Simba,NewWithPikes,Livi,Plan B,Ju$TK!Dd!nG,Amadeus,franc,1428,1108,1200,1150,1404,1078,1021,1400,1440,1120,1221,1171,1386,1060,1009,1314,African Clearing
350839,2021-10-17,2021-10,Steppe,bosedk1,kappa9059,Ju$TK!Dd!nG,Amadeus,Simba,Sephiroth,Livi,Plan B,1440,1471,1060,1009,1120,1308,1171,1386,1454,1491,1074,1023,1106,1294,1148,1359,Steppe
350874,2021-10-17,2021-10,Golden Pit,Deadkorpse,Livi,MODI,Ju$TK!Dd!nG,bosedk1,Simba,Sephiroth,Unknown,1350,1148,1150,1074,1454,1106,1294,0,1357,1173,1157,1089,1439,1091,1279,0,Golden Pit
350913,2021-10-17,2021-10,African Clearing,Deadkorpse,Deadkorpse Disciple,Simba,MODI,franc,kappa9059,Livi,Ju$TK!Dd!nG,1357,1250,1091,1157,1100,1491,1173,1089,1371,1256,1105,1171,1094,1477,1152,1075,African Clearing
351507,2021-10-18,2021-10,Oasis,gelf,KING,kappa9059,MODI,bosedk1,steelskin,Simba,Plan B,1356,1206,1477,1171,1439,1300,1105,1359,1374,1224,1495,1199,1421,1294,1087,1313,Oasis
351532,2021-10-18,2021-10,Golden Pit,bosedk1,Deadkorpse,steelskin,MODI,Simba,gelf,Plan B,vegan gelf,1421,1371,1294,1199,1087,1374,1313,1500,1438,1398,1307,1233,1070,1357,1261,1478,Golden Pit
351540,2021-10-18,2021-10,Runestones,Deadkorpse,Simba,gelf,vegan gelf,steelskin,KING,kappa9059,Plan B,1398,1070,1357,1478,1307,1224,1495,1261,1432,1086,1373,1499,1295,1207,1478,1212,Runestones
