match_id,date,year_month,map,w1,w2,w3,w4,l1,l2,l3,l4,w1_or,w2_or,w3_or,w4_or,l1_or,l2_or,l3_or,l4_or,w1_nr,w2_nr,w3_nr,w4_nr,l1_nr,l2_nr,l3_nr,l4_nr,map_only
844279,2024-01-25,2024-01,Unknown,centurion12,thelivi,mutant,M1k3,feedertony,f33d3r.raj,Gajini,aravind2705,1400,1400,1100,1500,1300,1400,1200,1400,1446,1446,1146,1546,1254,1354,1154,1354,Unknown
844332,2024-01-25,2024-01,Unknown,centurion12,dosa7368,Thiru,Gajini,xpm0083,f33d3r.raj,mutant,M1k3,1446,1250,1600,1154,1500,1354,1146,1546,1503,1310,1660,1211,1440,1297,1089,1489,Unknown
844388,2024-01-25,2024-01,Unknown,dosa7368,f33d3r.raj,thelivi,M1k3,xpm0083,feedertony,Thiru,Gajini,1310,1400,1446,1489,1440,1350,1660,1211,1362,1449,1499,1538,1388,1297,1608,1162,Unknown
844976,2024-01-26,2024-01,Unknown,xpm0083,Shadeslayer II,M1k3,Unknown,Thiru,f33d3r.raj,Gajini,Unknown,1388,1400,1538,0,1608,1449,1162,0,1436,1454,1583,0,1560,1404,1117,0,Unknown
844980,2024-01-26,2024-01,Unknown,dosa7368,Shadeslayer II,f33d3r.raj,Gajini,xpm0083,centurion12,Thiru,Unknown,1362,1454,1404,1117,1436,1503,1560,0,1371,1464,1412,1125,1427,1494,1551,0,Unknown
844987,2024-01-26,2024-01,Unknown,centurion12,Shadeslayer II,Thiru,Unknown,xpm0083,dosa7368,f33d3r.raj,Gajini,1494,1464,1551,0,1427,1371,1412,1125,1620,1594,1668,0,1310,1246,1302,1015,Unknown
844993,2024-01-26,2024-01,Unknown,centurion12,Shadeslayer II,Gajini,Unknown,xpm0083,dosa7368,Thiru,Unknown,1620,1594,1015,0,1310,1246,1668,0,1673,1648,1061,0,1261,1194,1619,0,Unknown
845095,2024-01-26,2024-01,Unknown,xpm0083,Shadeslayer II,venomaoe4u,Unknown,centurion12,feedertony,Gajini,Unknown,1261,1648,1250,0,1673,1297,1061,0,1297,1688,1305,0,1634,1249,1026,0,Unknown
845118,2024-01-26,2024-01,Unknown,xpm0083,centurion12,f33d3r.raj,venomaoe4u,dosa7368,Shadeslayer II,Gajini,M1k3,1297,1634,1302,1305,1194,1688,1026,1583,1333,1671,1341,1356,1154,1650,992,1539,Unknown
845138,2024-01-26,2024-01,Unknown,dosa7368,feedertony,venomaoe4u,M1k3,xpm0083,Shadeslayer II,f33d3r.raj,Gajini,1154,1249,1356,1539,1333,1650,1341,992,1196,1300,1409,1584,1296,1610,1301,956,Unknown
845168,2024-01-26,2024-01,Unknown,guerrillawarfare2,xpm0083,feedertony,Gajini,Shadeslayer II,f33d3r.raj,venomaoe4u,Unknown,1100,1296,1300,956,1610,1301,1409,0,1136,1317,1327,975,1588,1279,1381,0,Unknown
845706,2024-01-27,2024-01,Unknown,feedertony,f33d3r.raj,M1k3,Unknown,centurion12,thelivi,Gajini,Unknown,1327,1279,1584,0,1671,1499,975,0,1374,1317,1629,0,1629,1441,941,0,Unknown
845712,2024-01-27,2024-01,Unknown,feedertony,f33d3r.raj,thelivi,Unknown,centurion12,Gajini,M1k3,Unknown,1374,1317,1441,0,1629,941,1629,0,1428,1361,1506,0,1581,901,1577,0,Unknown
845748,2024-01-27,2024-01,Unknown,f33d3r.raj,thelivi,Gajini,M1k3,guerrillawarfare2,Shadeslayer II,feedertony,mutant,1361,1506,901,1577,1136,1588,1428,1200,1392,1551,930,1613,1078,1552,1390,1144,Unknown
845781,2024-01-27,2024-01,Unknown,guerrillawarfare2,Shadeslayer II,thelivi,sundar7238,feedertony,f33d3r.raj,Gajini,M1k3,1078,1552,1551,1100,1390,1392,930,1613,1135,1588,1596,1167,1352,1360,901,1577,Unknown
845837,2024-01-27,2024-01,Unknown,guerrillawarfare2,Shadeslayer II,feedertony,mutant,Thiru,f33d3r.raj,thundubeedi,sundar7238,1135,1588,1352,1144,1619,1360,1000,1167,1177,1616,1381,1188,1583,1335,945,1118,Unknown
845902,2024-01-27,2024-01,Unknown,guerrillawarfare2,Thiru,f33d3r.raj,Unknown,Shadeslayer II,feedertony,Gajini,Unknown,1177,1583,1335,0,1616,1381,901,0,1215,1616,1358,0,1590,1354,879,0,Unknown
845965,2024-01-27,2024-01,Unknown,Shadeslayer II,feedertony,f33d3r.raj,thundubeedi,guerrillawarfare2,xpm0083,centurion12,dosa7368,1590,1354,1358,945,1215,1317,1581,1196,1623,1389,1388,1011,1167,1278,1543,1151,Unknown
845994,2024-01-27,2024-01,Unknown,thelivi,Gajini,thundubeedi,M1k3,guerrillawarfare2,dosa7368,feedertony,f33d3r.raj,1596,879,1011,1577,1167,1151,1389,1388,1640,907,1069,1613,1124,1110,1357,1360,Unknown
846015,2024-01-27,2024-01,Unknown,dosa7368,f33d3r.raj,thelivi,Gajini,guerrillawarfare2,xpm0083,centurion12,thundubeedi,1110,1360,1640,907,1124,1278,1543,1069,1147,1385,1679,932,1085,1244,1509,1018,Unknown
846031,2024-01-27,2024-01,Unknown,centurion12,dosa7368,feedertony,thelivi,guerrillawarfare2,Shadeslayer II,venomaoe4u,M1k3,1509,1147,1357,1679,1085,1623,1381,1613,1542,1183,1387,1717,1048,1593,1331,1580,Unknown
846092,2024-01-27,2024-01,Unknown,xpm0083,thelivi,Gajini,venomaoe4u,guerrillawarfare2,dosa7368,Thiru,f33d3r.raj,1244,1717,932,1331,1048,1183,1616,1385,1278,1753,958,1378,1012,1149,1575,1359,Unknown
846129,2024-01-27,2024-01,Unknown,dosa7368,Shadeslayer II,Thiru,f33d3r.raj,thelivi,Gajini,venomaoe4u,M1k3,1149,1593,1575,1359,1753,958,1378,1580,1181,1623,1613,1384,1719,933,1334,1548,Unknown
846614,2024-01-28,2024-01,Unknown,centurion12,feedertony,f33d3r.raj,Gajini,dosa7368,Thiru,mutant,venomaoe4u,1542,1387,1384,1000,1181,1613,1188,1334,1572,1415,1407,1066,1152,1579,1138,1296,Unknown
846631,2024-01-28,2024-01,Unknown,xpm0083,Thiru,Gajini,venomaoe4u,centurion12,dosa7368,f33d3r.raj,mutant,1278,1579,1066,1296,1572,1152,1407,1138,1311,1614,1132,1336,1541,1122,1383,1087,Unknown
846645,2024-01-28,2024-01,Unknown,centurion12,dosa7368,Gajini,mutant,ninjavarier,feedertony,f33d3r.raj,thundubeedi,1541,1122,1132,1087,1018,1415,1383,1018,1566,1146,1182,1126,958,1391,1364,975,Unknown
846651,2024-01-28,2024-01,Unknown,dosa7368,feedertony,f33d3r.raj,Unknown,thelivi,Gajini,thundubeedi,Unknown,1146,1391,1364,0,1719,1182,975,0,1175,1421,1388,0,1684,1124,925,0,Unknown
846699,2024-01-28,2024-01,Unknown,guerrillawarfare2,xpm0083,f33d3r.raj,stylishsteam,centurion12,Gajini,sundar7238,mutant,1012,1311,1388,1175,1566,1124,1118,1126,1046,1341,1409,1245,1538,1077,1060,1084,Unknown
846713,2024-01-28,2024-01,Unknown,guerrillawarfare2,centurion12,dosa7368,sundar7238,feedertony,f33d3r.raj,thundubeedi,mutant,1046,1538,1175,1060,1421,1409,925,1084,1080,1566,1202,1116,1394,1388,882,1043,Unknown
850157,2024-02-02,2024-02,Unknown,xpm0083,mutant,M1k3,Unknown,feedertony,f33d3r.raj,Gajini,Unknown,1341,1043,1548,0,1394,1388,1077,0,1371,1081,1579,0,1369,1368,1032,0,Unknown
850191,2024-02-02,2024-02,Unknown,xpm0083,feedertony,f33d3r.raj,Gajini,guerrillawarfare2,mutant,venomaoe4u,M1k3,1371,1369,1368,1032,1080,1081,1336,1579,1397,1391,1385,1069,1052,1049,1302,1553,Unknown
850242,2024-02-02,2024-02,Unknown,feedertony,f33d3r.raj,mutant,venomaoe4u,guerrillawarfare2,xpm0083,Gajini,M1k3,1391,1385,1049,1302,1052,1397,1069,1553,1412,1402,1080,1335,1024,1372,1033,1527,Unknown
850313,2024-02-02,2024-02,Unknown,feedertony,Gajini,mutant,M1k3,guerrillawarfare2,xpm0083,f33d3r.raj,venomaoe4u,1412,1033,1080,1527,1024,1372,1402,1335,1439,1076,1118,1559,990,1341,1381,1295,Unknown
851163,2024-02-03,2024-02,Unknown,xpm0083,feedertony,f33d3r.raj,thundubeedi,stylishsteam,sundar7238,mutant,M1k3,1341,1439,1381,882,1245,1116,1118,1559,1364,1460,1397,921,1182,1067,1089,1535,Unknown
851212,2024-02-03,2024-02,Unknown,guerrillawarfare2,xpm0083,f33d3r.raj,M1k3,Shadeslayer II,feedertony,sundar7238,mutant,990,1364,1397,1535,1623,1460,1067,1089,1016,1387,1413,1559,1595,1440,1022,1062,Unknown
851252,2024-02-03,2024-02,Unknown,feedertony,Thiru,Gajini,mutant,guerrillawarfare2,dosa7368,Shadeslayer II,f33d3r.raj,1440,1614,1076,1062,1016,1202,1595,1413,1462,1651,1114,1092,987,1174,1564,1395,Unknown
851346,2024-02-03,2024-02,Unknown,Shadeslayer II,f33d3r.raj,sundar7238,Unknown,dosa7368,Thiru,Gajini,Unknown,1564,1395,1022,0,1174,1651,1114,0,1593,1413,1068,0,1148,1617,1079,0,Unknown
