"match_id","at","user_id","rating_before","rating_change","deviation_before","deviation_change","reason"
NULL,2024-01-25 17:28:14,573073267766722561,1500,0,200,0,manual seeding
NULL,2024-01-25 17:28:45,1033770965127135333,1500,0,200,0,manual seeding
NULL,2024-01-25 17:29:04,573073267766722561,1500,0,200,0,manual seeding
NULL,2024-01-25 17:32:57,695309066771365970,1500,-100,200,0,manual seeding
NULL,2024-01-25 17:33:38,715923016412037221,1500,-300,200,0,manual seeding
NULL,2024-01-25 17:33:52,511604233267707925,1500,-200,200,0,manual seeding
NULL,2024-01-25 17:34:17,736088924115435550,1500,-500,200,0,manual seeding
NULL,2024-01-25 17:34:42,695276693362835466,1500,-100,200,0,manual seeding
NULL,2024-01-25 17:34:58,751100943218507815,1500,-100,200,0,manual seeding
NULL,2024-01-25 17:35:09,1010781418458206329,1500,-400,200,0,manual seeding
NULL,2024-01-25 17:39:43,354904864066764804,1500,-100,200,0,manual seeding
NULL,2024-01-25 17:53:39,509251341105889280,1500,100,200,0,manual seeding
844279,2024-01-25 17:54:53,354904864066764804,1400,46,200,-6,4v4
844279,2024-01-25 17:54:53,1033770965127135333,1500,46,200,-6,4v4
844279,2024-01-25 17:54:53,695309066771365970,1400,46,200,-6,4v4
844279,2024-01-25 17:54:53,1010781418458206329,1100,46,200,-6,4v4
844279,2024-01-25 17:54:53,751100943218507815,1400,-46,200,-6,4v4
844279,2024-01-25 17:54:53,511604233267707925,1300,-46,200,-6,4v4
844279,2024-01-25 17:54:53,695276693362835466,1400,-46,200,-6,4v4
844279,2024-01-25 17:54:53,715923016412037221,1200,-46,200,-6,4v4
NULL,2024-01-25 17:54:55,509251341105889280,1600,-200,200,0,manual seeding
NULL,2024-01-25 17:56:40,573073267766722561,1500,100,200,0,manual seeding
NULL,2024-01-25 18:04:39,284349270151397376,1500,-400,200,0,manual seeding
NULL,2024-01-25 18:38:51,853696992027082782,1500,-200,200,0,manual seeding
NULL,2024-01-25 19:03:29,511604233267707925,1254,96,194,0,manual seeding
NULL,2024-01-25 20:10:27,469499463640023051,1500,-250,200,0,manual seeding
844332,2024-01-25 20:11:53,573073267766722561,1600,60,200,-7,4v4
844332,2024-01-25 20:11:53,354904864066764804,1446,57,194,-6,4v4
844332,2024-01-25 20:11:53,328978193312776212,1500,-60,200,-7,4v4
844332,2024-01-25 20:11:53,1033770965127135333,1546,-57,194,-6,4v4
844332,2024-01-25 20:11:53,1010781418458206329,1146,-57,194,-6,4v4
844332,2024-01-25 20:11:53,715923016412037221,1154,57,194,-6,4v4
844332,2024-01-25 20:11:53,695276693362835466,1354,-57,194,-6,4v4
844332,2024-01-25 20:11:53,469499463640023051,1250,60,200,-7,4v4
NULL,2024-01-25 20:16:48,1024061084233125888,1500,-250,200,0,manual seeding
NULL,2024-01-25 20:18:39,695276693362835466,1297,103,188,0,manual seeding
NULL,2024-01-25 20:20:18,584450667897290784,1500,500,200,0,manual seeding
844388,2024-01-25 21:19:11,695309066771365970,1446,53,194,-7,4v4
844388,2024-01-25 21:19:11,328978193312776212,1440,-52,193,-6,4v4
844388,2024-01-25 21:19:11,511604233267707925,1350,-53,194,-7,4v4
844388,2024-01-25 21:19:11,715923016412037221,1211,-49,188,-6,4v4
844388,2024-01-25 21:19:11,573073267766722561,1660,-52,193,-6,4v4
844388,2024-01-25 21:19:11,1033770965127135333,1489,49,188,-6,4v4
844388,2024-01-25 21:19:11,695276693362835466,1400,49,188,-6,4v4
844388,2024-01-25 21:19:11,469499463640023051,1310,52,193,-6,4v4
NULL,2024-01-26 11:42:12,584450667897290784,2000,-800,200,0,manual seeding
844976,2024-01-26 12:38:21,573073267766722561,1608,-48,187,-7,4v4
844976,2024-01-26 12:38:21,715923016412037221,1162,-45,182,-7,4v4
844976,2024-01-26 12:38:21,328978193312776212,1388,48,187,-7,4v4
844976,2024-01-26 12:38:21,509251341105889280,1400,54,200,-9,4v4
844976,2024-01-26 12:38:21,1033770965127135333,1538,45,182,-7,4v4
844976,2024-01-26 12:38:21,695276693362835466,1449,-45,182,-7,4v4
844980,2024-01-26 13:08:15,354904864066764804,1503,-9,188,-3,4v4
844980,2024-01-26 13:08:15,573073267766722561,1560,-9,180,-2,4v4
844980,2024-01-26 13:08:15,695276693362835466,1404,8,175,-2,4v4
844980,2024-01-26 13:08:15,715923016412037221,1117,8,175,-2,4v4
844980,2024-01-26 13:08:15,469499463640023051,1362,9,187,-3,4v4
844980,2024-01-26 13:08:15,509251341105889280,1454,10,191,-3,4v4
844980,2024-01-26 13:08:15,328978193312776212,1436,-9,180,-2,4v4
844987,2024-01-26 13:45:59,469499463640023051,1371,-125,184,-9,4v4
844987,2024-01-26 13:45:59,573073267766722561,1551,117,178,-8,4v4
844987,2024-01-26 13:45:59,509251341105889280,1464,130,188,-10,4v4
844987,2024-01-26 13:45:59,354904864066764804,1494,126,185,-9,4v4
844987,2024-01-26 13:45:59,715923016412037221,1125,-110,173,-8,4v4
844987,2024-01-26 13:45:59,328978193312776212,1427,-117,178,-8,4v4
844987,2024-01-26 13:45:59,695276693362835466,1412,-110,173,-8,4v4
844993,2024-01-26 14:28:32,715923016412037221,1015,46,165,-6,4v4
844993,2024-01-26 14:28:32,354904864066764804,1620,53,176,-8,4v4
844993,2024-01-26 14:28:32,509251341105889280,1594,54,178,-8,4v4
844993,2024-01-26 14:28:32,328978193312776212,1310,-49,170,-7,4v4
844993,2024-01-26 14:28:32,469499463640023051,1246,-52,175,-7,4v4
844993,2024-01-26 14:28:32,573073267766722561,1668,-49,170,-7,4v4
845095,2024-01-26 19:17:44,509251341105889280,1648,40,170,-6,4v4
845095,2024-01-26 19:17:44,1024061084233125888,1250,55,200,-10,4v4
845095,2024-01-26 19:17:44,511604233267707925,1297,-48,187,-8,4v4
845095,2024-01-26 19:17:44,715923016412037221,1061,-35,159,-5,4v4
845095,2024-01-26 19:17:44,328978193312776212,1261,36,163,-5,4v4
845095,2024-01-26 19:17:44,354904864066764804,1673,-39,168,-6,4v4
845118,2024-01-26 19:53:31,509251341105889280,1688,-38,164,-5,4v4
845118,2024-01-26 19:53:31,354904864066764804,1634,37,162,-4,4v4
845118,2024-01-26 19:53:31,1033770965127135333,1583,-44,175,-6,4v4
845118,2024-01-26 19:53:31,715923016412037221,1026,-34,154,-4,4v4
845118,2024-01-26 19:53:31,328978193312776212,1297,36,158,-4,4v4
845118,2024-01-26 19:53:31,695276693362835466,1302,39,165,-5,4v4
845118,2024-01-26 19:53:31,469499463640023051,1194,-40,168,-5,4v4
845118,2024-01-26 19:53:31,1024061084233125888,1305,51,190,-7,4v4
845138,2024-01-26 20:37:37,509251341105889280,1650,-40,159,-4,4v4
845138,2024-01-26 20:37:37,715923016412037221,992,-36,150,-4,4v4
845138,2024-01-26 20:37:37,1024061084233125888,1356,53,183,-7,4v4
845138,2024-01-26 20:37:37,695276693362835466,1341,-40,160,-5,4v4
845138,2024-01-26 20:37:37,511604233267707925,1249,51,179,-6,4v4
845138,2024-01-26 20:37:37,1033770965127135333,1539,45,169,-5,4v4
845138,2024-01-26 20:37:37,469499463640023051,1154,42,163,-5,4v4
845138,2024-01-26 20:37:37,328978193312776212,1333,-37,154,-4,4v4
845168,2024-01-26 21:18:05,509251341105889280,1610,-22,155,-4,4v4
845168,2024-01-26 21:18:05,284349270151397376,1100,36,200,-8,4v4
845168,2024-01-26 21:18:05,511604233267707925,1300,27,173,-5,4v4
845168,2024-01-26 21:18:05,715923016412037221,956,19,146,-3,4v4
845168,2024-01-26 21:18:05,1024061084233125888,1409,-28,176,-5,4v4
845168,2024-01-26 21:18:05,328978193312776212,1296,21,150,-3,4v4
845168,2024-01-26 21:18:05,695276693362835466,1301,-22,155,-4,4v4
845706,2024-01-27 10:14:37,354904864066764804,1671,-42,158,-6,4v4
845706,2024-01-27 10:14:37,715923016412037221,975,-34,143,-4,4v4
845706,2024-01-27 10:14:37,1033770965127135333,1584,45,164,-6,4v4
845706,2024-01-27 10:14:37,511604233267707925,1327,47,168,-7,4v4
845706,2024-01-27 10:14:37,695276693362835466,1279,38,151,-5,4v4
845706,2024-01-27 10:14:37,695309066771365970,1499,-58,187,-10,4v4
845712,2024-01-27 10:49:35,695276693362835466,1317,44,146,-5,4v4
845712,2024-01-27 10:49:35,354904864066764804,1629,-48,152,-6,4v4
845712,2024-01-27 10:49:35,1033770965127135333,1629,-52,158,-7,4v4
845712,2024-01-27 10:49:35,511604233267707925,1374,54,161,-7,4v4
845712,2024-01-27 10:49:35,695309066771365970,1441,65,177,-9,4v4
845712,2024-01-27 10:49:35,715923016412037221,941,-40,139,-4,4v4
NULL,2024-01-27 13:20:48,1109131980911693885,1500,-300,200,0,manual seeding
NULL,2024-01-27 13:21:48,1010781418458206329,1089,111,188,0,manual seeding
845748,2024-01-27 14:04:31,695309066771365970,1506,45,168,-5,4v4
845748,2024-01-27 14:04:31,715923016412037221,901,29,135,-3,4v4
845748,2024-01-27 14:04:31,509251341105889280,1588,-36,151,-4,4v4
845748,2024-01-27 14:04:31,511604233267707925,1428,-38,154,-4,4v4
845748,2024-01-27 14:04:31,284349270151397376,1136,-58,192,-8,4v4
845748,2024-01-27 14:04:31,695276693362835466,1361,31,141,-3,4v4
845748,2024-01-27 14:04:31,1033770965127135333,1577,36,151,-4,4v4
845748,2024-01-27 14:04:31,1010781418458206329,1200,-56,188,-8,4v4
NULL,2024-01-27 14:05:35,828672992976437267,1500,-400,200,0,manual seeding
845781,2024-01-27 15:04:12,715923016412037221,930,-29,132,-3,4v4
845781,2024-01-27 15:04:12,509251341105889280,1552,36,147,-4,4v4
845781,2024-01-27 15:04:12,695276693362835466,1392,-32,138,-3,4v4
845781,2024-01-27 15:04:12,1033770965127135333,1613,-36,147,-4,4v4
845781,2024-01-27 15:04:12,284349270151397376,1078,57,184,-8,4v4
845781,2024-01-27 15:04:12,695309066771365970,1551,45,163,-5,4v4
845781,2024-01-27 15:04:13,511604233267707925,1390,-38,150,-4,4v4
845781,2024-01-27 15:04:13,828672992976437267,1100,67,200,-10,4v4
845837,2024-01-27 15:54:57,573073267766722561,1619,-36,163,-4,4v4
845837,2024-01-27 15:54:57,509251341105889280,1588,28,143,-3,4v4
845837,2024-01-27 15:54:57,284349270151397376,1135,42,176,-6,4v4
845837,2024-01-27 15:54:57,1010781418458206329,1144,44,180,-6,4v4
