match_id,date,year_month,map,w1,w2,w3,w4,l1,l2,l3,l4,w1_or,w2_or,w3_or,w4_or,l1_or,l2_or,l3_or,l4_or,w1_nr,w2_nr,w3_nr,w4_nr,l1_nr,l2_nr,l3_nr,l4_nr,map_only
349499,2021-10-15,2021-10,Land Madness,Simba,Sephiroth,Plan B,Amadeus,bosedk1,CHICKEN,Ju$TK!Dd!nG,lottery martin,1041,1400,1329,900,1476,684,749,1048,1041,1400,1329,900,1476,684,749,1048,Land Madness
349512,2021-10-15,2021-10,Crater,KING,kappa9059,Cleopatra,Amadeus,Simba,Sephiroth,CHICKEN,Plan B,489,1928,0,900,1041,1400,684,1329,489,1928,0,900,1041,1400,684,1329,Crater
349535,2021-10-15,2021-10,Arena,Simba,gelf,Sephiroth,kappa9059,bosedk1,Cleopatra,Plan B,Ju$TK!Dd!nG,1041,1200,1400,1928,1476,0,1329,749,1041,1200,1400,1928,1476,0,1329,749,Arena
350806,2021-10-17,2021-10,African Clearing,bosedk1,Simba,NewWithPikes,Livi,Plan B,Ju$TK!Dd!nG,Amadeus,franc,1476,1041,629,1255,1329,749,900,900,1476,1041,629,1255,1329,749,900,900,African Clearing
350839,2021-10-17,2021-10,Steppe,bosedk1,kappa9059,Ju$TK!Dd!nG,Amadeus,Simba,Sephiroth,Livi,Plan B,1476,1928,749,900,1041,1400,1255,1329,1476,1928,749,900,1041,1400,1255,1329,Steppe
350913,2021-10-17,2021-10,African Clearing,Deadkorpse,Deadkorpse Disciple,Simba,MODI,franc,kappa9059,Livi,Ju$TK!Dd!nG,1700,900,1041,1097,600,1928,1255,749,1700,900,1041,1097,600,1928,1255,749,African Clearing
351507,2021-10-18,2021-10,Oasis,gelf,KING,kappa9059,MODI,bosedk1,steelskin,Simba,Plan B,1200,489,1928,1097,1476,1200,1041,1329,1200,489,1928,1097,1476,1200,1041,1329,Oasis
351532,2021-10-18,2021-10,Golden Pit,bosedk1,Deadkorpse,steelskin,MODI,Simba,gelf,Plan B,vegan gelf,1476,1700,1200,1097,1041,1200,1329,1000,1476,1700,1200,1097,1041,1200,1329,1000,Golden Pit
351540,2021-10-18,2021-10,Runestones,Deadkorpse,Simba,gelf,vegan gelf,steelskin,KING,kappa9059,Plan B,1700,1041,1200,1000,1200,489,1928,1329,1700,1041,1200,1000,1200,489,1928,1329,Runestones
352178,2021-10-19,2021-10,African Clearing,bosedk1,StaticWarhamster,The SILENT MONK,Cleopatra,Phantom,Ju$TK!Dd!nG,safat,vegan gelf,1476,1200,900,0,1700,749,0,1000,1476,1200,900,0,1700,749,0,1000,African Clearing
352200,2021-10-19,2021-10,Gold Rush,Simba,KING,kappa9059,MODI,bosedk1,gelf,Livi,Ju$TK!Dd!nG,1041,489,1928,1097,1476,1200,1255,749,1041,489,1928,1097,1476,1200,1255,749,Gold Rush
352232,2021-10-19,2021-10,Arabia,bosedk1,Simba,KING,kappa9059,gelf,Thiru,Ju$TK!Dd!nG,vegan gelf,1476,1041,489,1928,1200,1631,749,1000,1476,1041,489,1928,1200,1631,749,1000,Arabia
352902,2021-10-20,2021-10,Four Lakes,Thiru,Livi,MODI,Plan B,bosedk1,Wildling,Simba,Amadeus,1631,1255,1097,1329,1476,1500,1041,900,1631,1255,1097,1329,1476,1500,1041,900,Four Lakes
352965,2021-10-20,2021-10,Valley,Sephiroth,Thiru,MODI,Ju$TK!Dd!nG,Simba,KING,kappa9059,Livi,1400,1631,1097,749,1041,489,1928,1255,1400,1631,1097,749,1041,489,1928,1255,Valley
353039,2021-10-20,2021-10,Nomad,gelf,KING,Thiru,Livi,Deadkorpse Disciple,kappa9059,NewWithPikes,Ju$TK!Dd!nG,1200,489,1631,1255,900,1928,629,749,1200,489,1631,1255,900,1928,629,749,Nomad
353054,2021-10-20,2021-10,Team Islands,Deadkorpse,Deadkorpse Disciple,gelf,NewWithPikes,kappa9059,Thiru,Livi,Ju$TK!Dd!nG,1700,900,1200,629,1928,1631,1255,749,1700,900,1200,629,1928,1631,1255,749,Team Islands
353524,2021-10-21,2021-10,African Clearing,bosedk1,KING,Sephiroth,Amadeus,Deadkorpse,Simba,Livi,MODI,1476,489,1400,900,1700,1041,1255,1097,1476,489,1400,900,1700,1041,1255,1097,African Clearing
353556,2021-10-21,2021-10,Arabia,bosedk1,Livi,MODI,Plan B,Simba,KING,Sephiroth,kappa9059,1476,1255,1097,1329,1041,489,1400,1928,1476,1255,1097,1329,1041,489,1400,1928,Arabia
353580,2021-10-21,2021-10,Runestones,Sephiroth,MODI,Ju$TK!Dd!nG,AsOcA,bosedk1,Simba,franc,Livi,1400,1097,749,400,1476,1041,600,1255,1400,1097,749,400,1476,1041,600,1255,Runestones
353621,2021-10-21,2021-10,Oasis,Simba,Sephiroth,Livi,AsOcA,bosedk1,franc,MODI,Ju$TK!Dd!nG,1041,1400,1255,400,1476,600,1097,749,1041,1400,1255,400,1476,600,1097,749,Oasis
354220,2021-10-22,2021-10,Arena,bosedk1,Sephiroth,Plan B,Ju$TK!Dd!nG,Wildling,Simba,kappa9059,NewWithPikes,1476,1400,1329,749,1500,1041,1928,629,1476,1400,1329,749,1500,1041,1928,629,Arena
354240,2021-10-22,2021-10,Golden Pit,Wildling,Sephiroth,Plan B,Ju$TK!Dd!nG,bosedk1,Simba,kappa9059,Livi,1500,1400,1329,749,1476,1041,1928,1255,1500,1400,1329,749,1476,1041,1928,1255,Golden Pit
354257,2021-10-22,2021-10,Oasis,bosedk1,Deadkorpse Disciple,Simba,kappa9059,Wildling,Sephiroth,Plan B,Ju$TK!Dd!nG,1476,900,1041,1928,1500,1400,1329,749,1476,900,1041,1928,1500,1400,1329,749,Oasis
354679,2021-10-23,2021-10,Golden Swamp,bosedk1,TalentButNoForm,lucky23,CHICKEN,Kamlesha,SMR,JustSmurfing,KING,1476,1769,835,684,0,2500,1000,489,1476,1769,835,684,0,2500,1000,489,Golden Swamp
354709,2021-10-23,2021-10,Gold Rush,bosedk1,Wildling,lucky23,JustSmurfing,Kamlesha,SMR,TalentButNoForm,CHICKEN,1476,1500,835,1000,0,2500,1769,684,1476,1500,835,1000,0,2500,1769,684,Gold Rush
354733,2021-10-23,2021-10,Oasis,bosedk1,Deadkorpse,TalentButNoForm,JustSmurfing,Wildling,SMR,lucky23,CHICKEN,1476,1700,1769,1000,1500,2500,835,684,1476,1700,1769,1000,1500,2500,835,684,Oasis
