match_id,date,year_month,map,w1,w2,w3,w4,l1,l2,l3,l4,w1_or,w2_or,w3_or,w4_or,l1_or,l2_or,l3_or,l4_or,w1_nr,w2_nr,w3_nr,w4_nr,l1_nr,l2_nr,l3_nr,l4_nr,map_only
844279,2024-01-25,2024-01,Unknown,centurion12,thelivi,mutant,M1k3,feedertony,f33d3r.raj,Gajini,aravind2705,1469,1740,847,1788,1158,1495.0,872.0,1419,1469.0,1740.0,847,1788.0,1158.0,1495,872.0,1419.0,Unknown
844332,2024-01-25,2024-01,Unknown,centurion12,dosa7368,Thiru,Gajini,xpm0083,f33d3r.raj,mutant,M1k3,1469,1002,1965,872,1215,1495.0,847.0,1788,1469.0,1002.0,1965,872.0,1215.0,1495,847.0,1788.0,Unknown
844388,2024-01-25,2024-01,Unknown,dosa7368,f33d3r.raj,thelivi,M1k3,xpm0083,feedertony,Thiru,Gajini,1002,1495,1740,1788,1215,1158.0,1965.0,872,1002.0,1495.0,1740,1788.0,1215.0,1158,1965.0,872.0,Unknown
844976,2024-01-26,2024-01,Unknown,xpm0083,Shadeslayer II,M1k3,Thiru,f33d3r.raj,Gajini,1215,1472,1788,1965,1495,872,1215,1472.0,1788.0,1965,1495.0,872.0,Unknown,,,,,,
844980,2024-01-26,2024-01,Unknown,dosa7368,Shadeslayer II,f33d3r.raj,Gajini,xpm0083,centurion12,Thiru,1002,1472,1495,872,1215,1469,1965.0,1002.0,1472,1495.0,872.0,1215,1469.0,1965.0,Unknown,,,
844987,2024-01-26,2024-01,Unknown,centurion12,Shadeslayer II,Thiru,xpm0083,dosa7368,f33d3r.raj,Gajini,1469,1472,1965,1215,1002,1495,872.0,1469.0,1472,1965.0,1215.0,1002,1495.0,872.0,Unknown,,,
844993,2024-01-26,2024-01,Unknown,centurion12,Shadeslayer II,Gajini,xpm0083,dosa7368,Thiru,1469,1472,872,1215,1002,1965,1469,1472.0,872.0,1215,1002.0,1965.0,Unknown,,,,,,
845095,2024-01-26,2024-01,Unknown,xpm0083,Shadeslayer II,venomaoe4u,centurion12,feedertony,Gajini,1215,1472,1202,1469,1158,872,1215,1472.0,1202.0,1469,1158.0,872.0,Unknown,,,,,,
845118,2024-01-26,2024-01,Unknown,xpm0083,centurion12,f33d3r.raj,venomaoe4u,dosa7368,Shadeslayer II,Gajini,M1k3,1215,1469,1495,1202,1002,1472.0,872.0,1788,1215.0,1469.0,1495,1202.0,1002.0,1472,872.0,1788.0,Unknown
845138,2024-01-26,2024-01,Unknown,dosa7368,feedertony,venomaoe4u,M1k3,xpm0083,Shadeslayer II,f33d3r.raj,Gajini,1002,1158,1202,1788,1215,1472.0,1495.0,872,1002.0,1158.0,1202,1788.0,1215.0,1472,1495.0,872.0,Unknown
