match_id,w1,w2,w3,w4,l1,l2,l3,l4,w1_or,w2_or,w3_or,w4_or,l1_or,l2_or,l3_or,l4_or,w1_nr,w2_nr,w3_nr,w4_nr,l1_nr,l2_nr,l3_nr,l4_nr,team_a_won,team_b_won
1134183,bcappu,xpm0083,mutant,,thelivi,vijay1989,harry6789,,1736,1287,852,,1634,1260,1014,,1763,1314,879,,1607,1233,987,,True,False
1134146,tokenbadteam,f33d3r.raj,vijay1989,mutant,thelivi,stylishsteam,harry6789,zasz,1400,1301,1239,831,1655,1089,1035,991,1428,1322,1260,852,1634,1068,1014,970,False,True
1134125,arkantos3801,f33d3r.raj,xpm0083,feedertony,M1k3,thelivi,vijay1989,mutant,1699,1279,1265,1206,1683,1677,1261,853,1721,1301,1287,1228,1661,1655,1239,831,False,True
1134080,M1k3,thelivi,feedertony,mutant,Thiru,f33d3r.raj,zasz,Gajini,1663,1657,1186,833,2025,1299,1011,982,1683,1677,1206,853,2005,1279,991,962,False,True
1134019,Thiru,arkantos3801,feedertony,mutant,M1k3,thelivi,xpm0083,Gajini,2004,1678,1165,812,1684,1678,1286,1003,2025,1699,1186,833,1663,1657,1265,982,False,True
1133955,M1k3,harry6789,zasz,Gajini,arkantos3801,f33d3r.raj,mutant,vetrierai,1662,1013,989,981,1700,1321,834,806,1684,1035,1011,1003,1678,1299,812,784,True,False
1133942,thelivi,f33d3r.raj,harry6789,thundubeedi,arkantos3801,sundar7238,mutant,vetrierai,1657,1300,992,564,1721,1103,855,827,1678,1321,1013,595,1700,1082,834,806,True,False
1133922,M1k3,thelivi,Gajini,mutant,arkantos3801,xpm0083,harry6789,zasz,1640,1635,959,833,1743,1308,1014,1011,1662,1657,981,855,1721,1286,992,989,False,True
1133899,thelivi,sundar7238,zasz,mutant,M1k3,xpm0083,vetrierai,thundubeedi,1618,1086,994,816,1657,1325,844,592,1635,1103,1011,833,1640,1308,827,564,True,False
1133881,bcappu,feedertony,harry6789,vetrierai,xpm0083,vijay1989,sundar7238,Gajini,1712,1141,990,820,1349,1285,1110,983,1736,1165,1014,844,1325,1261,1086,959,True,False
1133869,xpm0083,vijay1989,harry6789,Gajini,thelivi,feedertony,vetrierai,mutant,1330,1266,971,964,1637,1160,839,835,1349,1285,990,983,1618,1141,820,816,True,False
1133861,M1k3,harry6789,Gajini,vetrierai,f33d3r.raj,feedertony,zasz,mutant,1634,948,941,816,1323,1183,1017,858,1657,971,964,839,1300,1160,994,835,True,False
1133857,thelivi,f33d3r.raj,zasz,Gajini,centurion12,vijay1989,feedertony,mutant,1609,1295,989,913,1573,1294,1211,886,1637,1323,1017,941,1545,1266,1183,858,False,True
1133839,M1k3,thelivi,centurion12,mutant,bcappu,xpm0083,vijay1989,feedertony,1611,1586,1550,863,1735,1353,1317,1234,1634,1609,1573,886,1712,1330,1294,1211,True,False
1133535,M1k3,thelivi,xpm0083,mutant,bcappu,vijay1989,feedertony,Gajini,1592,1567,1334,844,1754,1336,1253,932,1611,1586,1353,863,1735,1317,1234,913,True,False
1133491,thelivi,centurion12,vijay1989,feedertony,bcappu,M1k3,xpm0083,mutant,1546,1529,1315,1232,1775,1613,1355,865,1567,1550,1336,1253,1754,1592,1334,844,False,True
1133481,M1k3,thelivi,vijay1989,feedertony,bcappu,centurion12,xpm0083,mutant,1592,1525,1294,1211,1796,1550,1376,886,1613,1546,1315,1232,1775,1529,1355,865,False,True
1133460,Thiru,thelivi,f33d3r.raj,Gajini,bcappu,ddk220,vijay1989,arunaoe,1985,1506,1276,913,1815,1316,1313,1173,2004,1525,1295,932,1796,1297,1294,1154,True,False
1133429,Thiru,centurion12,zasz,vetrierai,bcappu,f33d3r.raj,arunaoe,Gajini,1963,1528,967,794,1837,1298,1195,935,1985,1550,989,816,1815,1276,1173,913,True,False
1133406,Thiru,tokenbadteam,f33d3r.raj,vetrierai,bcappu,thelivi,zasz,harry6789,1943,1372,1278,774,1857,1526,987,968,1963,1400,1298,794,1837,1506,967,948,False,True
1133364,centurion12,thelivi,vijay1989,vetrierai,Thiru,sundar7238,harry6789,Gajini,1507,1505,1292,753,1964,1131,989,956,1528,1526,1313,774,1943,1110,968,935,True,False
1133325,bcappu,centurion12,Gajini,vetrierai,thelivi,vijay1989,sundar7238,zasz,1835,1485,934,731,1527,1314,1153,1009,1857,1507,956,753,1505,1292,1131,987,False,True
1133304,bcappu,f33d3r.raj,zasz,harry6789,centurion12,vijay1989,feedertony,Gajini,1814,1257,988,968,1506,1335,1232,955,1835,1278,1009,989,1485,1314,1211,934,False,True
1133290,vijay1989,f33d3r.raj,Gajini,,centurion12,sundar7238,vetrierai,,1311,1233,931,,1530,1177,756,,1335,1257,955,,1506,1153,731,,False,True
1133165,f33d3r.raj,feedertony,sundar7238,zasz,bcappu,ddk220,Gajini,thiyagup,1209,1208,1153,964,1838,1340,955,473,1233,1232,1177,988,1814,1316,931,449,False,True
1133124,Thiru,tokenbadteam,ddk220,zasz,centurion12,thelivi,f33d3r.raj,sundar7238,1945,1344,1321,945,1549,1546,1228,1172,1964,1372,1340,964,1530,1527,1209,1153,False,True
1133115,Thiru,bcappu,feedertony,Gajini,centurion12,thelivi,tokenbadteam,ddk220,1924,1817,1187,934,1570,1567,1377,1342,1945,1838,1208,955,1549,1546,1344,1321,False,True
1133101,bcappu,ddk220,feedertony,sundar7238,Thiru,centurion12,zasz,Gajini,1794,1319,1164,1149,1947,1593,968,957,1817,1342,1187,1172,1924,1570,945,934,True,False
1133080,bcappu,centurion12,sundar7238,zasz,Thiru,vijay1989,arunaoe,mutant,1772,1571,1127,946,1969,1333,1217,908,1794,1593,1149,968,1947,1311,1195,886,False,True
1133079,bcappu,centurion12,vijay1989,zasz,Thiru,tokenbadteam,feedertony,mutant,1753,1552,1314,927,1988,1410,1183,927,1772,1571,1333,946,1969,1377,1164,908,False,True
1133072,vijay1989,sundar7238,vetrierai,,arunaoe,zasz,mutant,,1287,1100,727,,1244,954,954,,1314,1127,756,,1217,927,927,,False,True
1132691,bcappu,M1k3,harry6789,mutant,thelivi,arunaoe,feedertony,sundar7238,1732,1571,947,933,1588,1265,1204,1121,1753,1592,968,954,1567,1244,1183,1100,True,False
1132673,thelivi,xpm0083,arunaoe,harry6789,bcappu,feedertony,sundar7238,mutant,1567,1355,1244,926,1753,1225,1142,954,1588,1376,1265,947,1732,1204,1121,933,False,True
1132653,Thiru,thelivi,sundar7238,Gajini,bcappu,M1k3,feedertony,harry6789,1967,1546,1121,936,1775,1592,1246,947,1988,1567,1142,957,1753,1571,1225,926,True,False
1132623,Thiru,mutant,zasz,harry6789,feedertony,arunaoe,sundar7238,Gajini,1951,938,938,931,1262,1260,1137,952,1967,954,954,947,1246,1244,1121,936,False,True
1132587,bcappu,centurion12,Gajini,zasz,thelivi,feedertony,arunaoe,harry6789,1754,1533,933,919,1565,1281,1279,950,1775,1552,952,938,1546,1262,1260,931,False,True
1132544,bcappu,Gajini,,,centurion12,mutant,,,1730,913,,,1553,958,,,1754,933,,,1533,938,,,False,True
1128947,Thiru,thelivi,harry6789,,M1k3,xpm0083,ddk220,,1930,1544,929,,1613,1376,1340,,1951,1565,950,,1592,1355,1319,,False,True
1128946,Thiru,centurion12,feedertony,harry6789,M1k3,thelivi,ddk220,zasz,1915,1538,1266,914,1628,1559,1355,934,1930,1553,1281,929,1613,1544,1340,919,True,False
1128927,M1k3,thelivi,ddk220,zasz,Thiru,centurion12,feedertony,harry6789,1628,1559,1355,934,1915,1538,1266,914,1656,1587,1383,962,1887,1510,1238,886,True,False
1128893,Thiru,thelivi,zasz,vetrierai,centurion12,feedertony,f33d3r.raj,harry6789,1894,1538,913,704,1559,1287,1249,935,1915,1559,934,727,1538,1266,1228,914,True,False
1128773,Thiru,thelivi,sundar7238,harry6789,M1k3,centurion12,f33d3r.raj,zasz,1872,1516,1115,913,1650,1581,1271,935,1894,1538,1137,935,1628,1559,1249,913,True,False
1128739,centurion12,xpm0083,feedertony,sundar7238,M1k3,thelivi,stylishsteam,zasz,1560,1355,1266,1094,1671,1537,1110,956,1581,1376,1287,1115,1650,1516,1089,935,False,True
1128717,centurion12,thelivi,f33d3r.raj,sundar7238,M1k3,xpm0083,feedertony,zasz,1541,1518,1252,1075,1690,1374,1285,975,1560,1537,1271,1094,1671,1355,1266,956,True,False
1128638,centurion12,feedertony,arunaoe,,M1k3,ddk220,zasz,,1511,1255,1249,,1720,1385,1005,,1541,1285,1279,,1690,1355,975,,True,False
1128238,Thiru,thelivi,centurion12,zasz,M1k3,ddk220,xpm0083,feedertony,1851,1497,1490,984,1741,1406,1395,1276,1872,1518,1511,1005,1720,1385,1374,1255,False,True
1128207,thelivi,centurion12,xpm0083,feedertony,Thiru,M1k3,zasz,harry6789,1475,1468,1373,1254,1873,1763,1006,935,1497,1490,1395,1276,1851,1741,984,913,True,False
1128187,M1k3,centurion12,feedertony,,Thiru,thelivi,harry6789,,1742,1447,1233,,1894,1496,956,,1763,1468,1254,,1873,1475,935,,False,True
1127898,centurion12,stylishsteam,harry6789,,Thiru,zasz,thiyagup,,1421,1084,930,,1920,1032,499,,1447,1110,956,,1894,1006,473,,False,True
1127876,centurion12,stylishsteam,zasz,,Thiru,harry6789,thiyagup,,1399,1062,1010,,1942,952,521,,1421,1084,1032,,1920,930,499,,False,True
1127306,Thiru,centurion12,harry6789,,M1k3,ddk220,zasz,,1916,1373,926,,1768,1432,1036,,1942,1399,952,,1742,1406,1010,,True,False
1123877,M1k3,centurion12,zasz,,Thiru,f33d3r.raj,Gajini,,1739,1344,1007,,1945,1281,942,,1768,1373,1036,,1916,1252,913,,True,False
