match_id,date,map,team_a_players,team_b_players,queue
1134183,2025-02-23,Land Nomad,"[509251341105889280, 328978193312776212, 1010781418458206329]","[695309066771365970, 739435983707308062, 555011931488911374]",4v4
1134173,2025-02-23,Land Nomad,"[695309066771365970, 695276693362835466, 328978193312776212, 555011931488911374]","[509251341105889280, 1104364176668905622, 739435983707308062, 1010781418458206329]",4v4
1134164,2025-02-23,Land Nomad,"[509251341105889280, 695276693362835466, 328978193312776212, 555011931488911374]","[1033770965127135333, 695309066771365970, 739435983707308062, 1010781418458206329]",4v4
1134146,2025-02-23,Land Nomad,"[695309066771365970, 797796953269338133, 555011931488911374, 354990093980663809]","[1104364176668905622, 695276693362835466, 739435983707308062, 1010781418458206329]",4v4
1134125,2025-02-23,Land Nomad,"[1033770965127135333, 695309066771365970, 739435983707308062, 1010781418458206329]","[649505118152294421, 695276693362835466, 328978193312776212, 511604233267707925]",4v4
1134123,2025-02-23,Land Nomad,"[1033770965127135333, 695309066771365970, 511604233267707925, 1010781418458206329]","[649505118152294421, 695276693362835466, 328978193312776212, 354990093980663809]",4v4
1134109,2025-02-23,Land Nomad,"[573073267766722561, 695309066771365970, 354990093980663809, 581434797117669386]","[649505118152294421, 328978193312776212, 739435983707308062, 511604233267707925]",4v4
1134080,2025-02-23,Land Nomad,"[573073267766722561, 695276693362835466, 354990093980663809, 715923016412037221]","[1033770965127135333, 695309066771365970, 511604233267707925, 1010781418458206329]",4v4
1134019,2025-02-23,Land Nomad,"[1033770965127135333, 695309066771365970, 328978193312776212, 715923016412037221]","[573073267766722561, 649505118152294421, 511604233267707925, 1010781418458206329]",4v4
1133985,2025-02-23,Land Nomad,"[649505118152294421, 695309066771365970, 715923016412037221, 581434797117669386]","[573073267766722561, 828672992976437267, 555011931488911374, 354990093980663809]",4v4
1133981,2025-02-23,Land Nomad,"[695309066771365970, 828672992976437267, 555011931488911374, 736088924115435550]","[649505118152294421, 354990093980663809, 715923016412037221, 581434797117669386]",4v4
1133955,2025-02-23,Land Nomad,"[1033770965127135333, 555011931488911374, 354990093980663809, 715923016412037221]","[649505118152294421, 695276693362835466, 1010781418458206329, 581434797117669386]",4v4
1133942,2025-02-23,Land Nomad,"[695309066771365970, 695276693362835466, 555011931488911374, 736088924115435550]","[649505118152294421, 828672992976437267, 1010781418458206329, 581434797117669386]",4v4
1133922,2025-02-23,Land Nomad,"[649505118152294421, 328978193312776212, 555011931488911374, 354990093980663809]","[1033770965127135333, 695309066771365970, 715923016412037221, 1010781418458206329]",4v4
1133899,2025-02-23,Land Nomad,"[695309066771365970, 828672992976437267, 354990093980663809, 1010781418458206329]","[1033770965127135333, 328978193312776212, 581434797117669386, 736088924115435550]",4v4
1133881,2025-02-23,Land Nomad,"[509251341105889280, 511604233267707925, 555011931488911374, 581434797117669386]","[328978193312776212, 739435983707308062, 828672992976437267, 715923016412037221]",4v4
1133869,2025-02-23,Land Nomad,"[328978193312776212, 739435983707308062, 555011931488911374, 715923016412037221]","[695309066771365970, 511604233267707925, 581434797117669386, 1010781418458206329]",4v4
1133861,2025-02-23,Land Nomad,"[1033770965127135333, 555011931488911374, 715923016412037221, 581434797117669386]","[695276693362835466, 511604233267707925, 354990093980663809, 1010781418458206329]",4v4
1133857,2025-02-23,Land Nomad,"[354904864066764804, 739435983707308062, 511604233267707925, 1010781418458206329]","[695309066771365970, 695276693362835466, 354990093980663809, 715923016412037221]",4v4
1133849,2025-02-23,Land Nomad,"[354904864066764804, 695276693362835466, 739435983707308062, 1010781418458206329]","[509251341105889280, 328978193312776212, 354990093980663809, 715923016412037221]",4v4
1133839,2025-02-23,Land Nomad,"[1033770965127135333, 695309066771365970, 354904864066764804, 1010781418458206329]","[509251341105889280, 328978193312776212, 739435983707308062, 511604233267707925]",4v4
1133837,2025-02-23,Land Nomad,"[509251341105889280, 328978193312776212, 511604233267707925, 354990093980663809]","[1033770965127135333, 354904864066764804, 739435983707308062, 1010781418458206329]",4v4
1133836,2025-02-23,Land Nomad,"[509251341105889280, 328978193312776212, 739435983707308062, 1010781418458206329]","[1033770965127135333, 354904864066764804, 511604233267707925, 715923016412037221]",4v4
1133815,2025-02-23,Land Nomad,"[509251341105889280, 511604233267707925, 354990093980663809]","[1033770965127135333, 354904864066764804, 715923016412037221]",4v4
