match_id,date,year_month,map,w1,w2,w3,w4,l1,l2,l3,l4,w1_or,w2_or,w3_or,w4_or,w1_nr,w2_nr,w3_nr,w4_nr,l1_or,l2_or,l3_or,l4_or,l1_nr,l2_nr,l3_nr,l4_nr,map_only
1063670,2024-11-09,2024-11,African Clearing,Thiru,f33d3r.raj,xpm0083,vijay1989,thelivi,centurion12,mikecbe,darkknight7282,2109,1419,1318,1067,2123,1433,1332,1081,1629,1619,1528,1133,1615,1605,1514,1119,African Clearing
1063637,2024-11-09,2024-11,Land Nomad,arkantos3801,typo,vijay1989,Gajini,centurion12,f33d3r.raj,darkknight7282,silentdeath4869,1401,1076,1058,1004,1410,1085,1067,1013,1628,1428,1142,214,1619,1419,1133,159,Land Nomad
1063599,2024-11-09,2024-11,African Clearing,Thiru,centurion12,typo,vijay1989,aadvanced,mikecbe,f33d3r.raj,zaszrespawned,2095,1614,1062,1044,2109,1628,1076,1058,1892,1542,1442,955,1878,1528,1428,941,African Clearing
1063545,2024-11-09,2024-11,African Clearing,thelivi,centurion12,vijay1989,zaszrespawned,rcbfan009,darkknight7282,sundar7238,Gajini,1614,1599,1029,940,1629,1614,1044,955,1916,1157,1117,1019,1901,1142,1102,1004,African Clearing
1063505,2024-11-09,2024-11,Land Nomad,rcbfan009,aravind2705,Gajini,zaszrespawned,mikecbe,f33d3r.raj,arkantos3801,vijay1989,1901,1616,1004,925,1916,1631,1019,940,1557,1457,1416,1044,1542,1442,1401,1029,Land Nomad
1063398,2024-11-09,2024-11,African Clearing,rcbfan009,thelivi,centurion12,typo,Thiru,f33d3r.raj,arkantos3801,sundar7238,1887,1600,1585,1048,1901,1614,1599,1062,2109,1471,1430,1131,2095,1457,1416,1117,African Clearing
1063382,2024-11-09,2024-11,Land Nomad,aadvanced,thelivi,f33d3r.raj,feedertony,Thiru,rcbfan009,typo,Gajini,1880,1588,1459,1212,1892,1600,1471,1224,2121,1899,1060,1016,2109,1887,1048,1004,Land Nomad
1063354,2024-11-09,2024-11,African Clearing,rcbfan009,typo,Gajini,,thelivi,feedertony,sundar7238,,1881,1042,998,0,1899,1060,1016,0,1606,1230,1149,0,1588,1212,1131,0,African Clearing
1063316,2024-11-09,2024-11,Land Nomad,aadvanced,f33d3r.raj,arkantos3801,thiyagup,rcbfan009,feedertony,sundar7238,typo,1868,1447,1418,680,1880,1459,1430,692,1893,1242,1161,1054,1881,1230,1149,1042,Land Nomad
1063305,2024-11-09,2024-11,African Clearing,thelivi,f33d3r.raj,Gajini,zaszrespawned,rcbfan009,feedertony,typo,thiyagup,1592,1433,984,911,1606,1447,998,925,1907,1256,1068,694,1893,1242,1054,680,African Clearing
1063295,2024-11-09,2024-11,Land Nomad,thelivi,f33d3r.raj,Gajini,,rcbfan009,typo,zaszrespawned,,1578,1419,970,0,1592,1433,984,0,1921,1082,925,0,1907,1068,911,0,Land Nomad
1062653,2024-11-08,2024-11,African Clearing,Thiru,sundar7238,typo,silentdeath4869,thelivi,vijay1989,Gajini,zaszrespawned,2105,1145,1066,100,2121,1161,1082,214,1594,1060,986,941,1578,1044,970,925,African Clearing
1062633,2024-11-08,2024-11,Land Nomad,Thiru,arunaoe,Gajini,vetrierai,thelivi,sundar7238,typo,vijay1989,2092,1253,973,633,2105,1266,986,646,1607,1158,1079,1073,1594,1145,1066,1060,Land Nomad
1059460,2024-11-03,2024-11,African Clearing,thelivi,centurion12,arkantos3801,feedertony,Thiru,f33d3r.raj,typo,vijay1989,1597,1575,1408,1246,1607,1585,1418,1256,2102,1429,1089,1083,2092,1419,1079,1073,African Clearing
1059437,2024-11-03,2024-11,Land Nomad,thelivi,f33d3r.raj,xpm0083,typo,centurion12,arkantos3801,feedertony,vijay1989,1584,1416,1305,1076,1597,1429,1318,1089,1588,1421,1259,1096,1575,1408,1246,1083,Land Nomad
1059407,2024-11-03,2024-11,African Clearing,Thiru,centurion12,typo,zaszrespawned,thelivi,arkantos3801,f33d3r.raj,vijay1989,2091,1577,1065,930,2102,1588,1076,941,1595,1432,1427,1107,1584,1421,1416,1096,African Clearing
1059373,2024-11-03,2024-11,Land Nomad,rcbfan009,bcappu,thelivi,xpm0083,Thiru,mikecbe,f33d3r.raj,feedertony,1907,1612,1581,1291,1921,1626,1595,1305,2105,1571,1441,1273,2091,1557,1427,1259,Land Nomad
1059354,2024-11-03,2024-11,African Clearing,rcbfan009,arkantos3801,xpm0083,feedertony,bcappu,thelivi,f33d3r.raj,vijay1989,1895,1420,1279,1261,1907,1432,1291,1273,1624,1593,1453,1119,1612,1581,1441,1107,African Clearing
1059324,2024-11-03,2024-11,Land Nomad,aravind2705,mikecbe,vijay1989,typo,thelivi,f33d3r.raj,arkantos3801,thundubeedi,1604,1559,1107,1053,1616,1571,1119,1065,1605,1465,1432,757,1593,1453,1420,745,Land Nomad
